Records,410,435,460,485,510,535,560,585,610,645,680,705,730,760,810,860,900,940,Capacitity Moist,Temp,Moist,EC (u/10 gram),Ph,Nitro (mg/10 g),Posh Nitro (mg/10 g),Pota Nitro (mg/10 g)
100_25ml-1,670.15,128.22,321.92,83.58,148.34,141.75,20.97,24.54,95.93,35.03,58.84,6.8,12.94,12.88,24.76,71.81,11.52,6.2,2596,36.1,0,0,8.02,0,0,0
100_25ml-1,684.77,133.96,330.99,87.8,154.33,148.76,21.43,24.95,101.71,34.65,66.82,7.15,13.75,13.69,25.61,74.02,12.1,6.2,2328,38.2,11.9,1.54,7.74,0.13,0.18,0.45
100_25ml-10,670.15,128.22,321.02,86.11,148.34,146.66,21.89,25.36,99.4,35.03,63.83,7.15,12.94,13.69,24.76,74.02,11.52,6.2,2604,36.1,9.5,1.62,7.87,0.13,0.18,0.47
100_25ml-10,683.23,133.96,330.99,86.96,154.33,148.06,21.89,25.36,100.55,34.65,67.82,7.15,13.75,13.69,25.61,72.91,12.1,6.2,2332,38.2,11.7,1.57,7.88,0.13,0.18,0.46
100_25ml-2,670.15,128.22,321.92,83.58,148.34,141.04,20.97,24.54,95.93,35.03,58.84,6.8,12.94,12.88,24.76,72.91,11.52,6.2,2608,36.1,9.1,1.61,7.74,0.13,0.18,0.47
100_25ml-2,684.77,133.96,330.09,86.96,155.08,147.36,21.43,24.95,100.55,34.65,66.82,7.15,13.75,13.69,25.61,74.02,12.1,6.2,2380,38.2,11.7,1.55,7.74,0.13,0.18,0.45
100_25ml-3,670.15,128.22,321.92,86.11,148.34,145.96,21.43,24.95,98.24,35.03,63.83,7.15,12.94,13.69,24.76,74.02,11.52,6.2,2609,36.1,9.3,1.62,7.74,0.13,0.18,0.47
100_25ml-3,684,133.96,330.99,81.05,155.08,136.83,20.06,22.91,93.62,35.03,66.82,6.44,12.94,12.88,25.61,68.49,12.1,6.2,2338,38.2,12.1,1.55,6.96,0.13,0.18,0.45
100_25ml-4,669.38,128.22,321.02,85.27,148.34,144.55,21.89,24.95,97.09,35.03,62.83,7.15,12.94,13.69,25.61,72.91,11.52,6.2,2609,36.1,9.3,1.62,7.74,0.13,0.18,0.47
100_25ml-4,684,133.96,330.99,87.8,155.08,149.46,21.89,25.36,101.71,35.03,66.82,7.15,13.75,13.69,25.61,74.02,12.1,6.2,2402,38.2,12.1,1.56,6.96,0.13,0.18,0.46
100_25ml-5,669.38,128.22,321.02,85.27,148.34,143.85,21.43,24.95,97.09,35.03,63.83,7.15,12.94,13.69,24.76,72.91,11.52,6.2,2587,36.1,9.3,1.61,7.92,0.13,0.18,0.47
100_25ml-5,684,133.96,330.99,82.74,154.33,136.83,20.06,23.32,93.62,35.03,66.82,6.8,12.94,12.88,25.61,68.49,12.1,6.2,2361,38.2,11.8,1.56,6.96,0.13,0.18,0.46
100_25ml-6,669.38,128.22,321.02,86.11,148.34,145.25,21.43,24.95,98.24,35.03,63.83,7.15,12.94,13.69,24.76,74.02,11.52,6.2,2604,36.1,9.4,1.62,7.92,0.13,0.18,0.47
100_25ml-6,684,133.96,330.99,93.71,154.33,159.99,23.25,27,109.8,34.65,66.82,7.51,14.56,15.3,25.61,78.43,12.1,6.2,2358,38.2,11.8,1.56,6.96,0.13,0.18,0.46
100_25ml-7,669.38,128.22,321.02,86.11,148.34,145.96,21.89,24.95,98.24,35.03,63.83,7.15,12.94,13.69,24.76,74.02,11.52,6.2,2582,36.1,9.4,1.62,7.92,0.13,0.18,0.47
100_25ml-7,683.23,133.96,330.09,86.96,154.33,148.06,21.89,25.36,100.55,34.28,66.82,7.15,13.75,13.69,25.61,72.91,12.1,6.2,2368,38.2,11.7,1.56,7.47,0.13,0.18,0.46
100_25ml-8,669.38,128.22,321.02,85.27,148.34,143.85,21.43,24.95,97.09,35.03,63.83,7.15,12.94,13.69,24.76,72.91,11.52,6.2,2616,36.1,9.5,1.62,7.92,0.13,0.18,0.47
100_25ml-8,683.23,133.96,330.99,94.56,154.33,160.69,23.25,27,109.8,35.03,66.82,7.51,14.56,15.3,25.61,78.43,12.1,6.2,2360,38.2,11.7,1.57,7.47,0.13,0.18,0.46
100_25ml-9,669.38,128.22,321.02,85.27,148.34,145.25,21.43,24.95,98.24,35.03,63.83,7.15,12.94,13.69,24.76,74.02,11.52,6.2,2604,36.1,9.5,1.62,7.87,0.13,0.18,0.47
100_25ml-9,683.23,133.96,330.99,86.96,154.33,147.36,21.43,24.95,100.55,35.03,67.82,7.15,13.75,13.69,25.61,72.91,12.1,6.2,2356,38.2,11.7,1.57,7.47,0.13,0.18,0.46
100_50ml-1,708.62,138.74,337.34,84.43,159.58,138.94,24.17,25.77,93.62,34.28,62.83,7.15,12.13,12.88,24.76,62.97,11.52,6.2,2286,36.1,24.1,2.33,7.03,0.17,0.23,0.59
100_50ml-1,683.23,134.92,339.15,86.11,152.09,149.46,20.97,23.73,92.46,33.9,60.84,6.44,12.94,12.88,23.05,62.97,11.52,6.2,2329,38.2,22.5,2,7.42,0.15,0.21,0.53
100_50ml-10,680.15,132.04,327.36,81.05,151.34,135.43,23.25,24.54,91.31,33.9,60.84,6.8,12.13,12.88,23.9,62.97,11.52,6.2,2276,36.2,24.1,2.38,7.87,0.17,0.23,0.6
100_50ml-10,680.92,134.92,336.43,85.27,152.09,146.66,20.52,23.73,91.31,33.9,61.84,6.44,12.94,12.88,23.05,62.97,11.52,6.2,2273,38.3,22.2,2,6.93,0.15,0.21,0.53
100_50ml-2,699.39,136.83,334.62,82.74,157.33,136.83,23.71,25.36,93.62,34.28,60.84,7.15,12.13,12.88,24.76,64.07,11.52,6.2,2270,36.1,24.1,2.34,7.03,0.17,0.23,0.59
100_50ml-2,682.46,134.92,338.25,84.43,152.09,145.25,20.52,23.32,90.15,33.9,55.85,6.44,12.94,12.88,23.05,62.97,11.52,6.2,2333,38.2,22.3,2,7.42,0.15,0.21,0.53
100_50ml-3,694,135.87,333.71,86.96,155.83,144.55,25.08,26.59,97.09,33.9,56.85,7.15,12.94,12.88,24.76,65.18,11.52,6.2,2284,36.1,24,2.34,7.03,0.17,0.23,0.59
100_50ml-3,681.69,134.92,337.34,86.96,152.09,147.36,20.97,23.73,91.31,33.9,61.84,6.44,12.94,12.88,23.05,62.97,11.52,6.2,2338,38.2,22.3,2,7.42,0.15,0.21,0.53
100_50ml-4,690.15,134.92,331.9,87.8,155.08,146.66,25.53,27,99.4,33.9,61.84,7.51,12.94,13.69,24.76,67.39,11.52,6.2,2281,36.1,24.1,2.35,7.9,0.17,0.23,0.59
100_50ml-4,681.69,134.92,337.34,86.11,152.09,149.46,20.97,23.73,92.46,33.9,61.84,6.44,12.94,13.69,23.05,64.07,11.52,6.2,2324,38.3,22.3,2,7.02,0.15,0.21,0.53
100_50ml-5,687.08,133.96,330.09,85.27,153.59,143.15,24.62,26.18,95.93,33.9,55.85,7.15,12.94,12.88,24.76,65.18,11.52,6.2,2272,36.1,24.1,2.36,7.9,0.17,0.23,0.59
100_50ml-5,681.69,134.92,337.34,81.05,152.09,136.83,19.61,22.5,84.37,33.9,61.84,6.08,12.13,12.08,23.05,59.65,11.52,5.31,2329,38.3,22.3,2,7.02,0.15,0.21,0.53
100_50ml-6,684.77,133.96,330.09,87.8,153.59,147.36,25.53,27,99.4,33.9,60.84,7.51,12.94,13.69,24.76,67.39,11.52,6.2,2270,36.1,24.1,2.36,7.9,0.17,0.23,0.59
100_50ml-6,681.69,134.92,337.34,87.8,152.09,149.46,20.97,24.14,92.46,33.9,61.84,6.8,12.94,13.69,23.05,67.39,11.52,6.2,2320,38.3,22.2,2,7.02,0.15,0.21,0.53
100_50ml-7,683.23,133,329.18,93.71,152.84,157.89,26.9,28.63,106.33,33.9,60.84,7.87,13.75,14.49,24.76,71.81,11.52,7.08,2285,36.1,24.1,2.36,7.9,0.17,0.23,0.59
100_50ml-7,681.69,134.92,337.34,86.11,152.09,148.06,20.97,23.73,92.46,33.9,61.84,6.44,12.94,13.69,23.05,62.97,11.52,6.2,2315,38.3,22.2,2,7.02,0.15,0.21,0.53
100_50ml-8,681.69,133,328.27,86.96,152.09,145.25,25.08,26.59,97.09,33.9,60.84,7.51,12.94,12.88,24.76,66.28,11.52,6.2,2283,36.1,24.1,2.37,7.87,0.17,0.23,0.59
100_50ml-8,681.69,134.92,337.34,77.67,152.09,133.33,18.7,21.68,83.22,33.9,55.85,6.08,11.33,12.08,23.05,57.44,11.52,5.31,2378,38.3,22.2,2,6.93,0.15,0.21,0.53
100_50ml-9,680.92,132.04,328.27,81.05,152.09,132.62,22.8,24.54,89,33.9,55.85,6.8,12.13,12.08,23.9,65.18,11.52,6.2,2221,36.1,24.1,2.38,7.87,0.17,0.23,0.6
100_50ml-9,681.69,134.92,336.43,85.27,152.09,147.36,20.97,23.73,91.31,33.9,61.84,6.44,12.94,12.88,23.05,62.97,11.52,6.2,2314,38.3,22.2,2,6.93,0.15,0.21,0.53
101_0ml-1,771.71,163.62,411.7,105.53,204.53,183.85,34.65,42.13,182.62,56.12,115.69,10.37,21.03,19.32,44.39,143.61,17.28,7.08,2658,38.5,0,0,7.56,0,0,0
101_0ml-10,769.4,164.58,410.79,102.16,203.78,177.53,33.74,40.5,175.68,55.75,107.72,10.02,20.22,19.32,43.54,139.19,17.28,7.08,2648,38.5,0,0,6.97,0,0,0
101_0ml-2,770.17,163.62,410.79,103,204.53,178.94,33.74,40.91,176.84,56.12,107.72,10.02,21.03,19.32,43.54,139.19,17.28,7.08,2662,38.5,0,0,7.56,0,0,0
101_0ml-3,770.17,163.62,410.79,102.16,203.78,178.23,33.74,40.5,175.68,56.12,107.72,10.02,20.22,19.32,43.54,139.19,17.28,7.08,2647,38.5,0,0,7.56,0,0,0
101_0ml-4,770.17,164.58,411.7,102.16,204.53,178.23,33.74,40.91,175.68,56.12,107.72,10.02,20.22,19.32,43.54,139.19,17.28,7.08,2609,38.5,0,0,7.56,0,0,0
101_0ml-5,770.17,163.62,410.79,103,203.78,178.94,33.74,40.91,176.84,56.12,107.72,10.02,21.03,19.32,43.54,139.19,17.28,7.08,2653,38.5,0,0,6.94,0,0,0
101_0ml-6,769.4,163.62,410.79,102.16,203.78,178.23,33.74,40.91,176.84,56.12,107.72,10.02,21.03,19.32,43.54,139.19,17.28,7.08,2659,38.5,0,0,6.94,0,0,0
101_0ml-7,769.4,163.62,410.79,103,204.53,178.23,33.74,40.91,175.68,56.12,107.72,10.02,21.03,19.32,43.54,140.3,17.28,7.08,2656,38.5,0,0,6.94,0,0,0
101_0ml-8,769.4,164.58,410.79,112.29,204.53,197.18,36.93,45,195.33,56.12,114.7,11.09,22.65,20.93,43.54,151.35,17.28,7.97,2657,38.5,0,0,6.94,0,0,0
101_0ml-9,769.4,163.62,411.7,112.29,203.78,197.18,36.93,45,194.17,56.12,113.7,11.09,22.65,20.93,43.54,151.35,17.28,7.97,2654,38.5,0,0,6.97,0,0,0
101_25ml-1,718.62,145.44,356.38,96.25,173.06,159.99,25.53,29.86,129.45,41.06,73.81,8.23,15.37,15.3,29.03,79.54,13.83,7.08,2421,38.5,0,0,6.97,0,0,0
101_25ml-10,717.08,145.44,357.29,95.4,173.06,158.59,25.53,29.86,128.29,41.06,72.81,8.23,15.37,15.3,29.88,79.54,13.83,6.2,2441,38.5,9,1.7,6.92,0.14,0.19,0.48
101_25ml-2,717.85,144.48,356.38,95.4,173.06,158.59,25.08,29.86,128.29,41.06,73.81,8.23,15.37,15.3,29.03,79.54,13.83,6.2,2444,38.5,9.3,1.76,7.05,0.14,0.19,0.49
101_25ml-3,718.62,145.44,356.38,96.25,173.06,159.29,25.53,29.86,129.45,41.06,73.81,8.23,15.37,15.3,29.03,79.54,13.83,6.2,2432,38.5,9.3,1.77,7.05,0.14,0.19,0.49
101_25ml-4,717.85,145.44,356.38,92.87,173.06,154.38,24.62,29.04,124.83,41.06,68.82,8.23,15.37,14.49,29.03,77.33,13.83,6.2,2432,38.5,9.2,1.77,7.05,0.14,0.19,0.49
101_25ml-5,717.85,144.48,356.38,95.4,173.06,159.29,25.53,30.27,129.45,41.06,73.81,8.23,16.18,15.3,29.03,79.54,13.83,6.2,2420,38.5,8.4,1.76,6.93,0.14,0.19,0.49
101_25ml-6,717.85,145.44,356.38,95.4,173.06,157.89,25.08,29.45,128.29,41.06,74.8,8.23,15.37,15.3,29.03,79.54,13.83,6.2,2440,38.5,8.4,1.77,6.93,0.14,0.19,0.49
101_25ml-7,717.85,145.44,356.38,96.25,173.06,159.99,25.53,29.86,129.45,41.06,74.8,8.23,16.18,15.3,29.03,79.54,13.83,6.2,2441,38.5,8.2,1.76,6.93,0.14,0.19,0.49
101_25ml-8,717.85,145.44,356.38,93.71,173.06,155.78,24.62,29.04,125.98,41.06,68.82,8.23,15.37,14.49,29.03,77.33,13.83,6.2,2442,38.5,8.2,1.76,6.93,0.14,0.19,0.49
101_25ml-9,717.08,145.44,356.38,93.71,173.06,155.08,24.62,29.04,125.98,41.06,68.82,8.23,15.37,15.3,29.03,78.43,13.83,6.2,2447,38.5,8.9,1.66,6.92,0.14,0.19,0.47
101_50ml-1,697.08,136.83,338.25,85.27,161.08,140.34,23.25,27.41,107.49,41.06,70.81,7.51,12.94,13.69,28.17,75.12,12.67,6.2,2366,38.5,29.8,3.34,7.45,0.22,0.3,0.76
101_50ml-10,692.46,135.87,335.53,90.34,159.58,151.57,25.08,29.45,116.74,40.68,71.81,7.87,14.56,14.49,28.17,80.64,12.67,6.2,2368,38.5,29.4,3.39,7.04,0.22,0.3,0.77
101_50ml-2,696.31,136.83,337.34,91.18,160.33,152.27,25.08,29.86,116.74,41.06,70.81,7.87,14.56,14.49,28.17,80.64,12.67,6.2,2364,38.5,29.6,3.35,7.45,0.22,0.3,0.76
101_50ml-3,695.54,136.83,337.34,90.34,160.33,150.17,24.62,29.45,115.58,41.06,70.81,7.87,14.56,14.49,28.17,79.54,12.67,6.2,2367,38.5,29.6,3.36,7.09,0.22,0.3,0.76
101_50ml-4,695.54,136.83,337.34,87.8,160.33,146.66,24.17,28.63,113.27,40.68,65.83,7.51,13.75,13.69,28.17,78.43,12.67,6.2,2366,38.5,29.7,3.37,7.09,0.22,0.3,0.76
101_50ml-5,694.77,136.83,336.43,89.49,159.58,149.46,24.62,29.04,115.58,40.68,70.81,7.87,14.56,14.49,28.17,79.54,12.67,6.2,2371,38.5,29.7,3.37,7.09,0.22,0.3,0.76
101_50ml-6,694.77,135.87,336.43,88.65,159.58,147.36,24.17,28.63,113.27,40.68,65.83,7.51,13.75,13.69,28.17,78.43,12.67,6.2,2369,38.5,29.6,3.37,7.09,0.22,0.3,0.76
101_50ml-7,694,135.87,336.43,83.58,159.58,138.94,23.25,27.41,107.49,40.68,70.81,7.51,12.94,12.88,28.17,75.12,12.67,6.2,2369,38.5,29.5,3.38,7.04,0.22,0.3,0.77
101_50ml-8,694,135.87,336.43,96.25,159.58,162.1,26.45,31.5,124.83,40.68,71.81,8.23,15.37,15.3,28.17,85.06,12.67,7.08,2372,38.5,29.5,3.38,7.04,0.22,0.3,0.77
101_50ml-9,693.23,135.87,336.43,96.25,159.58,162.1,26.45,31.5,124.83,40.68,70.81,8.23,15.37,15.3,28.17,85.06,12.67,7.08,2365,38.5,29.4,3.37,7.04,0.22,0.3,0.77
102_0ml-1,722.47,144.48,365.45,90.34,174.56,150.87,26.45,32.32,124.83,47.84,81.78,8.59,15.37,14.49,32.44,93.9,14.98,6.2,2634,37.4,0,0,7.91,0,0,0
102_0ml-10,721.7,144.48,364.54,92.87,173.81,157.89,27.36,33.13,131.76,47.84,76.8,8.94,16.18,15.3,32.44,97.21,14.98,6.2,2647,37.4,0,0,7.22,0,0,0
102_0ml-2,722.47,144.48,365.45,86.11,173.81,145.96,25.53,30.68,121.36,47.84,81.78,8.23,14.56,14.49,32.44,91.69,14.98,6.2,2633,37.4,0,0,7.3,0,0,0
102_0ml-3,721.7,144.48,364.54,95.4,173.81,162.8,28.27,34.36,135.23,47.84,81.78,9.3,16.18,15.3,32.44,99.42,14.98,7.08,2631,37.4,0,0,7.3,0,0,0
102_0ml-4,722.47,144.48,365.45,96.25,173.81,164.2,28.73,34.36,136.38,47.84,80.79,9.3,16.99,16.1,32.44,100.53,14.98,7.08,2715,37.4,0,0,7.3,0,0,0
102_0ml-5,722.47,144.48,365.45,95.4,173.81,162.8,28.27,34.36,135.23,47.84,81.78,9.3,16.18,15.3,32.44,100.53,14.98,7.08,2645,37.4,0,0,7.3,0,0,0
102_0ml-6,721.7,144.48,364.54,92.87,173.81,157.89,27.36,33.13,130.61,47.84,76.8,8.94,16.18,15.3,32.44,97.21,14.98,6.2,2643,37.4,0,0,7.22,0,0,0
102_0ml-7,722.47,144.48,364.54,87.8,173.81,148.76,25.99,31.5,123.67,47.84,81.78,8.59,15.37,14.49,32.44,92.8,14.98,6.2,2644,37.4,0,0,7.22,0,0,0
102_0ml-8,721.7,144.48,364.54,92.87,173.81,158.59,27.36,33.54,131.76,47.84,76.8,8.94,16.18,15.3,32.44,97.21,14.98,6.2,2623,37.4,0,0,7.22,0,0,0
102_0ml-9,721.7,144.48,364.54,96.25,173.81,164.2,28.73,34.36,136.38,47.84,81.78,9.3,16.18,16.1,32.44,100.53,14.98,7.08,2641,37.4,0,0,7.22,0,0,0
102_25ml-1,683.23,130.13,327.36,87.8,150.59,148.06,21.43,24.54,98.24,34.28,60.84,7.15,12.94,12.88,24.76,71.81,11.52,6.2,2370,37.5,14.3,1.8,7.31,0.14,0.19,0.5
102_25ml-10,681.69,130.13,327.36,86.96,150.59,146.66,20.97,24.54,97.09,34.28,59.84,6.8,12.94,12.88,24.76,67.39,11.52,6.2,2373,37.5,14.2,1.88,7.97,0.15,0.2,0.51
102_25ml-2,683.23,130.13,327.36,84.43,150.59,143.85,20.52,23.73,95.93,34.65,55.85,6.8,12.94,12.88,24.76,66.28,11.52,6.2,2351,37.5,14.3,1.82,7.31,0.14,0.2,0.5
102_25ml-3,683.23,130.13,326.46,84.43,150.59,143.85,20.52,24.14,95.93,34.65,55.85,6.8,12.94,12.88,24.76,66.28,11.52,6.2,2360,37.5,14.3,1.83,7.47,0.14,0.2,0.5
102_25ml-4,682.46,130.13,327.36,85.27,150.59,146.66,20.97,24.54,98.24,34.65,60.84,6.8,12.94,12.88,24.76,67.39,11.52,6.2,2355,37.5,14.2,1.85,7.47,0.15,0.2,0.51
102_25ml-5,683.23,130.13,327.36,86.11,150.59,148.06,20.97,24.54,99.4,34.65,59.84,7.15,12.94,13.69,24.76,67.39,11.52,6.2,2337,37.5,14.2,1.86,7.47,0.15,0.2,0.51
102_25ml-6,682.46,130.13,326.46,86.96,150.59,146.66,20.97,24.54,98.24,34.65,60.84,7.15,12.94,12.88,24.76,70.7,11.52,6.2,2346,37.5,14.3,1.86,8.02,0.15,0.2,0.51
102_25ml-7,682.46,130.13,327.36,84.43,150.59,143.85,20.52,23.73,95.93,34.65,55.85,6.8,12.94,12.88,24.76,66.28,11.52,6.2,2369,37.5,14.2,1.87,8.02,0.15,0.2,0.51
102_25ml-8,681.69,130.13,327.36,85.27,150.59,146.66,20.97,24.54,98.24,34.65,60.84,6.8,12.94,12.88,24.76,67.39,11.52,6.2,2376,37.5,14.2,1.88,8.02,0.15,0.2,0.51
102_25ml-9,681.69,130.13,327.36,85.27,150.59,145.96,20.97,24.14,97.09,34.28,60.84,6.8,12.94,12.88,24.76,67.39,11.52,6.2,2369,37.5,14.2,1.88,8.02,0.15,0.2,0.51
102_50ml-1,680.92,129.17,326.46,87.8,149.09,148.06,22.8,25.77,93.62,34.65,57.85,7.15,12.94,12.88,23.05,65.18,11.52,6.2,2356,37.5,30.4,2.34,7.32,0.17,0.23,0.59
102_50ml-10,679.38,130.13,327.36,83.58,149.09,142.45,21.43,24.54,89,34.65,52.86,6.8,12.13,12.88,23.05,59.65,11.52,6.2,2355,37.5,30,2.41,8.02,0.17,0.24,0.6
102_50ml-2,680.15,130.13,326.46,83.58,149.09,142.45,21.89,24.95,89,34.65,52.86,6.8,12.13,12.88,23.05,59.65,11.52,5.31,2356,37.5,30.4,2.35,7.32,0.17,0.23,0.59
102_50ml-3,680.15,129.17,326.46,87.8,149.09,148.76,22.8,26.18,93.62,34.65,57.85,7.15,12.94,12.88,23.05,65.18,11.52,6.2,2346,37.5,30.3,2.36,7.23,0.17,0.23,0.59
102_50ml-4,680.15,129.17,326.46,85.27,149.09,145.25,22.34,25.36,91.31,34.65,58.84,6.8,12.13,12.88,23.05,60.76,11.52,6.2,2354,37.5,30.3,2.37,7.23,0.17,0.23,0.59
102_50ml-5,680.15,129.17,326.46,83.58,149.09,143.15,21.89,24.95,89,34.65,52.86,6.8,12.13,12.88,23.05,59.65,11.52,6.2,2352,37.5,30.3,2.38,7.23,0.17,0.23,0.6
102_50ml-6,680.15,130.13,326.46,83.58,148.34,142.45,21.89,24.54,89,34.65,53.86,6.8,12.13,12.88,23.05,59.65,11.52,6.2,2354,37.5,30.2,2.39,7.23,0.17,0.24,0.6
102_50ml-7,680.15,129.17,326.46,86.96,149.09,145.96,22.34,25.36,91.31,34.65,57.85,7.15,12.94,12.88,23.05,65.18,11.52,6.2,2354,37.5,30.2,2.39,8.02,0.17,0.24,0.6
102_50ml-8,680.15,129.17,326.46,86.11,149.09,147.36,22.34,25.36,92.46,34.65,57.85,6.8,12.94,12.88,23.05,61.86,11.52,6.2,2353,37.5,30.1,2.39,8.02,0.17,0.24,0.6
102_50ml-9,680.15,130.13,326.46,83.58,149.09,143.15,21.89,24.54,89,34.65,52.86,6.8,12.13,12.88,23.05,59.65,11.52,6.2,2356,37.5,30,2.4,8.02,0.17,0.24,0.6
104_0ml-1,753.24,157.88,385.4,98.78,190.3,168.41,30.55,36.82,169.9,53.49,106.72,9.66,20.22,19.32,43.54,145.82,16.71,7.08,2646,38.3,0,0,7.97,0,0,0
104_0ml-10,752.48,157.88,385.4,98.78,189.55,167.71,30.55,36.82,168.75,53.49,105.72,9.66,19.42,18.52,42.69,145.82,16.71,7.08,2634,38.3,0,0,7.96,0,0,0
104_0ml-2,753.24,157.88,385.4,101.31,189.55,172.62,31.01,37.63,174.53,53.49,112.7,10.02,20.22,19.32,43.54,149.14,16.71,7.08,2643,38.3,0,0,7.97,0,0,0
104_0ml-3,753.24,157.88,385.4,98.78,190.3,168.41,30.55,36.82,169.9,53.49,105.72,9.66,19.42,18.52,42.69,145.82,16.71,7.08,2645,38.3,0,0,7.97,0,0,0
104_0ml-4,753.24,156.92,385.4,98.78,190.3,168.41,30.55,36.82,169.9,52.73,105.72,9.66,19.42,18.52,42.69,145.82,16.71,7.08,2645,38.3,0,0,7.97,0,0,0
104_0ml-5,753.24,157.88,385.4,108.07,189.55,185.25,33.29,40.09,186.08,53.49,112.7,10.37,21.03,20.13,42.69,157.97,16.71,7.08,2652,38.3,0,0,7.97,0,0,0
104_0ml-6,753.24,157.88,385.4,98.78,190.3,167.71,30.55,36.82,168.75,53.49,105.72,9.66,19.42,18.52,42.69,145.82,16.71,7.08,2666,38.3,0,0,7.97,0,0,0
104_0ml-7,753.24,157.88,385.4,108.91,190.3,185.95,33.29,40.5,187.24,53.49,112.7,10.73,21.84,20.93,42.69,157.97,16.71,7.08,2638,38.3,0,0,7.97,0,0,0
104_0ml-8,752.48,157.88,385.4,92.02,190.3,155.08,28.27,33.95,156.03,53.49,105.72,8.94,17.8,17.71,42.69,135.88,17.28,6.2,2644,38.3,0,0,7.97,0,0,0
